====================================================
        STUDENTS RANKED BY CGPA
====================================================
Rank | ID     | Name              | Dept | Sem | CGPA | Credits | Year
-----|--------|-------------------|------|-----|------|---------|------
   1 | 202312 |               Noor |  MEC |   6 | 3.90 |     170 | 2019
   2 | 202301 |               Khan |  CSE |   5 | 3.85 |     142 | 2020
   3 | 202324 |           Siddiqui |  CSE |   7 | 3.80 |     185 | 2018
   4 | 202315 |              Iqbal |  EEE |   7 | 3.75 |     185 | 2018
   5 | 202304 |              Malik |  CSE |   7 | 3.75 |     180 | 2018
   6 | 202313 |              Ahmed |  CSE |   5 | 3.65 |     145 | 2020
   7 | 202319 |              Akram |  EEE |   6 | 3.60 |     165 | 2019
   8 | 202307 |               Raza |  CSE |   6 | 3.60 |     160 | 2019
   9 | 202311 |               Khan |  EEE |   4 | 3.55 |     105 | 2021
  10 | 202317 |            Hussain |  MEC |   8 | 3.45 |     210 | 2017
  11 | 202309 |               Shah |  CIV |   8 | 3.45 |     200 | 2017
  12 | 202302 |               Raza |  EEE |   6 | 3.40 |     150 | 2019
  13 | 202318 |             Fatima |  CIV |   4 | 3.30 |     120 | 2021
  14 | 202320 |               Raza |  CSE |   5 | 3.25 |     140 | 2020
  15 | 202305 |              Ahmed |  CIV |   4 | 3.20 |     110 | 2021
  16 | 202314 |                Ali |  CIV |   3 | 3.20 |      85 | 2022
  17 | 202303 |                Ali |  MEC |   3 | 3.10 |      90 | 2022
  18 | 202316 |             Yousaf |  CSE |   2 | 3.10 |      55 | 2023
  19 | 202322 |               Khan |  CIV |   1 | 3.10 |      35 | 2024
  20 | 202325 |             Farooq |  MEC |   4 | 3.00 |     115 | 2021
  21 | 202308 |             Siddiq |  MEC |   2 | 3.00 |      60 | 2023
  22 | 202306 |               Khan |  EEE |   5 | 2.95 |     130 | 2020
  23 | 202321 |              Iqbal |  MEC |   3 | 2.90 |      95 | 2022
  24 | 202310 |              Ullah |  CSE |   1 | 2.80 |      30 | 2024
  25 | 202323 |             Rahman |  EEE |   2 | 2.75 |      65 | 2023
